entry,Level of Study,College,Mode of Study,Sex,Location,Library Form,Score,Level of Awarenes,library utilization
student 199,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 200,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 201,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 202,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 203,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 204,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 205,Degree,COHES,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 206,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Frequently (more than 7 times)
student 207,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 208,Degree,COHES,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 209,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 210,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 211,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 212,Degree,COHES,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Sometimes (4-7 times)
student 213,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Rarely (1-3 times)
student 214,Degree,COANRE,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 215,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Frequently (more than 7 times)
student 216,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 217,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 218,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 219,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 220,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 221,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 222,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 223,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 224,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Frequently (more than 7 times)
student 225,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 226,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 227,Degree,COHES,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 228,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Frequently (more than 7 times)
student 229,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 230,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 231,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 232,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 233,Degree,COHES,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Frequently (more than 7 times)
student 234,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 235,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 236,Diploma,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Sometimes (4-7 times)
student 237,Degree,COANRE,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Frequently (more than 7 times)
student 238,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 239,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 240,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 241,Degree,COANRE,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 242,Diploma,COANRE,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Frequently (more than 7 times)
student 243,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Frequently (more than 7 times)
student 244,Degree,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 245,Masters,COANRE,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 246,Degree,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 247,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Frequently (more than 7 times)
student 248,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 249,Degree,COANRE,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Frequently (more than 7 times)
student 250,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 251,Degree,COPAS,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 252,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 253,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 254,Degree,COPAS,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 255,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 256,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 257,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 258,Degree,COPAS,Part-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 259,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 260,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 261,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Rarely (1-3 times)
student 262,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 263,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 264,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Frequently (more than 7 times)
student 265,Degree,COANRE,Full-Time,Female,,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 266,Diploma,COANRE,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 267,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 268,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 269,Degree,COANRE,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 270,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 271,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 272,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 273,Masters,COANRE,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 274,Degree,COANRE,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 275,Degree,COANRE,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 276,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 277,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 278,Degree,COANRE,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 279,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 280,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 281,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 282,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Rarely (1-3 times)
student 283,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 284,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 285,Degree,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 286,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 287,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 288,Degree,COANRE,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 289,Diploma,COHRED,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 290,Diploma,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 291,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 292,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 293,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 294,Degree,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 295,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 296,Diploma,COHRED,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 297,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 298,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 299,Degree,COHRED,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 300,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 301,Degree,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 302,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 303,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 304,Diploma,COHRED,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 305,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 306,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 307,Diploma,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 308,Diploma,COHRED,Part-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 309,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 310,Diploma,COHRED,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 311,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 312,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",16,High,Frequently (more than 7 times)
student 313,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 314,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 315,Degree,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 316,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 317,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 318,Diploma,COHRED,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 319,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 320,Degree,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 321,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 322,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Sometimes (4-7 times)
student 323,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 324,Diploma,COHRED,Part-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 325,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 326,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 327,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 328,Diploma,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 329,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 330,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 331,Diploma,COANRE,Part-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 332,Degree,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 333,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 334,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 335,Degree,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 336,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 337,Diploma,COANRE,Part-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 338,Degree,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 339,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 340,Diploma,COANRE,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 341,Diploma,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 342,Degree,COANRE,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 343,Degree,COANRE,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 344,Diploma,COANRE,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 345,Degree,COANRE,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 346,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 347,Diploma,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 348,Diploma,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 349,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 350,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 351,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 352,Diploma,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 353,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 354,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Sometimes (4-7 times)
student 355,Degree,COPAS,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Rarely (1-3 times)
student 356,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Frequently (more than 7 times)
student 357,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Frequently (more than 7 times)
student 358,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 359,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 360,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Rarely (1-3 times)
student 361,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Rarely (1-3 times)
student 362,Degree,COHRED,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 363,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Sometimes (4-7 times)
student 364,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",2,Low,Rarely (1-3 times)
student 365,Degree,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
student 366,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 367,Degree,COHRED,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 368,Diploma,COHRED,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 369,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 370,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 371,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 372,Degree,COHRED,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 373,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Sometimes (4-7 times)
student 374,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 375,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 376,Diploma,COPAS,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 377,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Frequently (more than 7 times)
student 378,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",18,High,Sometimes (4-7 times)
student 379,Diploma,COPAS,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 380,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 381,Diploma,COPAS,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 382,PhD,COPAS,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 383,Masters,COPAS,Part-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Frequently (more than 7 times)
student 384,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Frequently (more than 7 times)
student 385,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 386,Diploma,COPAS,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 387,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Sometimes (4-7 times)
student 388,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Rarely (1-3 times)
student 389,Diploma,COPAS,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 390,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 391,Degree,COPAS,Part-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 392,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Sometimes (4-7 times)
student 393,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Rarely (1-3 times)
student 394,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Sometimes (4-7 times)
student 395,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Sometimes (4-7 times)
student 396,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Rarely (1-3 times)
student 397,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Sometimes (4-7 times)
