entry,Level of Study,College,Mode of Study,Sex,Location,Library Form,Score,Level of Awarenes,library utilization
student 46,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Sometimes (4-7 times)
student 47,Degree,COHRED,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 48,Degree,COETEC,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Sometimes (4-7 times)
student 49,PhD,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",12,Moderate,Rarely (1-3 times)
student 50,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Sometimes (4-7 times)
student 51,Degree,COHES,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Frequently (more than 7 times)
student 52,Diploma,COHRED,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 53,Degree,COANRE,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",8,Moderate,Rarely (1-3 times)
student 54,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 55,Diploma,COPAS,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 56,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Frequently (more than 7 times)
student 57,Masters,COHRED,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Sometimes (4-7 times)
student 58,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 59,Degree,COETEC,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Sometimes (4-7 times)
student 60,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 61,Degree,COHRED,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 62,Degree,COETEC,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 63,Diploma,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 64,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Rarely (1-3 times)
student 65,Diploma,COANRE,Part-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Sometimes (4-7 times)
student 66,Degree,COHES,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Frequently (more than 7 times)
student 67,Diploma,COANRE,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 68,Degree,COPAS,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 69,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 70,Degree,COANRE,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 71,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Rarely (1-3 times)
student 72,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Rarely (1-3 times)
student 73,Diploma,COANRE,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 74,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
